,date,title,price,condition,likes,url
12,2025-06-25,"Asus VivoBook S14 i5-12500H 16GB 512GB 14"" WUXGA",S$849,Like new,9,https://www.carousell.sg/p/asus-vivobook-s14-i5-12500h-16gb-512gb-14-wuxga-1328520285/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=GgFmdx4PiEFt7x0R&t-referrer_sort_by=popular&t-tap_index=14
13,2025-06-25,Macbook Air M2 15inch 2023,"S$1,100",Like new,0,https://www.carousell.sg/p/macbook-air-m2-15inch-2023-1376824529/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=GgFmdx4PiEFt7x0R&t-referrer_sort_by=popular&t-tap_index=15
14,2025-06-25,Lenovo Neo 50q Gen 4 i5-13420H 16GB 512GB Desktop,S$770,Brand new,1,https://www.carousell.sg/p/lenovo-neo-50q-gen-4-i5-13420h-16gb-512gb-desktop-1362575715/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=GgFmdx4PiEFt7x0R&t-referrer_sort_by=popular&t-tap_index=16
15,2025-06-25,Lenovo Tinkpad MT20 TS Bu idea i5 10th gen Super fast laptop,S$310,Like new,1,https://www.carousell.sg/p/lenovo-tinkpad-mt20-ts-bu-idea-i5-10th-gen-super-fast-laptop-1376823556/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=GgFmdx4PiEFt7x0R&t-referrer_sort_by=popular&t-tap_index=17
16,2025-06-25,HP Pavilion Laptop,S$500,Like new,2,https://www.carousell.sg/p/hp-pavilion-laptop-1376823365/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=GgFmdx4PiEFt7x0R&t-referrer_sort_by=popular&t-tap_index=18
17,2025-06-25,Microsoft Surface Laptop 5 i5-1235U 8GB 256GB Platinum,S$880,Lightly used,14,https://www.carousell.sg/p/microsoft-surface-laptop-5-i5-1235u-8gb-256gb-platinum-1327476836/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=GgFmdx4PiEFt7x0R&t-referrer_sort_by=popular&t-tap_index=19
18,2025-06-25,"*Instalment* Flexible Payment Schemes on Eligible Laptops! Featuring Gigabyte/Aorus, Asus/ROG Strix, Vivobook Zenbook, Lenovo Thinkpad and more!",S$199,Brand new,654,https://www.carousell.sg/p/instalment-flexible-payment-schemes-on-eligible-laptops-featuring-gigabyte-aorus-asus-rog-strix-vivobook-zenbook-lenovo-thinkpad-and-more-1000608503/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=GgFmdx4PiEFt7x0R&t-referrer_sort_by=popular&t-tap_index=20
19,2025-06-25,🔋 100% MacBook Air M3 Chip 2024 15 inch,"S$1,280",Like new,11,https://www.carousell.sg/p/%F0%9F%94%8B-100-macbook-air-m3-chip-2024-15-inch-1376054996/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=GgFmdx4PiEFt7x0R&t-referrer_sort_by=popular&t-tap_index=21
20,2025-06-25,"Lenovo Yoga Slim 7 Pro i5-12500H 16GB 512GB 14"" 2.8K",S$949,Like new,6,https://www.carousell.sg/p/lenovo-yoga-slim-7-pro-i5-12500h-16gb-512gb-14-2-8k-1359719297/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=GgFmdx4PiEFt7x0R&t-referrer_sort_by=popular&t-tap_index=22
21,2025-06-25,"Acer Nitro 5 15"" Ryzen 7 5800H RTX 3050Ti 16GB 512GB FHD 144Hz",S$870,Like new,18,https://www.carousell.sg/p/acer-nitro-5-15-ryzen-7-5800h-rtx-3050ti-16gb-512gb-fhd-144hz-1358293565/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=GgFmdx4PiEFt7x0R&t-referrer_sort_by=popular&t-tap_index=23
22,2025-06-25,Computer Keyboard- Lenovo,S$5,Well used,1,https://www.carousell.sg/p/computer-keyboard-lenovo-1376822640/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=GgFmdx4PiEFt7x0R&t-referrer_sort_by=popular&t-tap_index=26
23,2025-06-25,"Lenovo ThinkPad E14 i7-1355U 16GB 512GB 14"" WUXGA Display Gen 5",S$949,Like new,24,https://www.carousell.sg/p/lenovo-thinkpad-e14-i7-1355u-16gb-512gb-14-wuxga-display-gen-5-1355169114/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=GgFmdx4PiEFt7x0R&t-referrer_sort_by=popular&t-tap_index=27
24,2025-06-25,"Sleek Dell Latitude Touchscreen | i5 7th Gen | 8GB RAM | 256GB SSD | Win 11 Pro- Microsoft office 2021- 12.5"" display - Excellent working conditions",S$240,Like new,1,https://www.carousell.sg/p/sleek-dell-latitude-touchscreen-i5-7th-gen-8gb-ram-256gb-ssd-win-11-pro-microsoft-office-2021-12-5-display-excellent-working-conditions-1376822389/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=GgFmdx4PiEFt7x0R&t-referrer_sort_by=popular&t-tap_index=28
25,2025-06-25,Computer keyboard - Acer,S$5,Well used,1,https://www.carousell.sg/p/computer-keyboard-acer-1376822325/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=GgFmdx4PiEFt7x0R&t-referrer_sort_by=popular&t-tap_index=29
26,2025-06-25,Precision 5560 powerful professional mobile workstation | i9-11950H Gen Processor | 64GB RAM with 1TB SSD NVME | NVIDIA RTX A2000 GPU 4GB Dedicated | 15.6-inch 4K OLED (3840x2400) Touchscreen Display | Windows 11Pro | Stock = 5Units,"S$1,199",Like new,1,https://www.carousell.sg/p/precision-5560-powerful-professional-mobile-workstation-i9-11950h-gen-processor-64gb-ram-with-1tb-ssd-nvme-nvidia-rtx-a2000-gpu-4gb-dedicated-15-6-inch-4k-oled-3840x2400-touchscreen-display-windows-11pro-stock-5units-1376821992/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=GgFmdx4PiEFt7x0R&t-referrer_sort_by=popular&t-tap_index=30
27,2025-06-25,"20gb+ 1 tb Fast Lenovo ThinkPad – i7 | 14"" FHD | Fingerprint | HDMI | USB-C | Slim & Powerful- RAM 20 GB - SSD 1 TB - Windows 11 Pro - Microsoft office 2021- Excellent working conditions",S$500,Like new,1,https://www.carousell.sg/p/20gb-1-tb-fast-lenovo-thinkpad-%E2%80%93-i7-14-fhd-fingerprint-hdmi-usb-c-slim-powerful-ram-20-gb-ssd-1-tb-windows-11-pro-microsoft-office-2021-excellent-working-conditions-1376821947/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=GgFmdx4PiEFt7x0R&t-referrer_sort_by=popular&t-tap_index=31
28,2025-06-25,"Asus VivoBook S14 Flip R7 7730U 16GB 1TB 14"" WUXGA Touch Display (UP $1,199.00)","Asus VivoBook S14 Flip R7 7730U 16GB 1TB 14"" WUXGA Touch Display (UP $1,199.00)",Like new,3,https://www.carousell.sg/p/asus-vivobook-s14-flip-r7-7730u-16gb-1tb-14-wuxga-touch-display-up-1-199-00-1369950019/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=GgFmdx4PiEFt7x0R&t-referrer_sort_by=popular&t-tap_index=32
29,2025-06-25,"Lenovo Yoga 7 i7-1260P 16GB 512GB 14"" 2.2K Touch Display",S$899,Like new,22,https://www.carousell.sg/p/lenovo-yoga-7-i7-1260p-16gb-512gb-14-2-2k-touch-display-1352425448/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=GgFmdx4PiEFt7x0R&t-referrer_sort_by=popular&t-tap_index=33
30,2025-06-25,"HP Envy 16 i5-12500H Arc A370M 16GB 1TB 16"" WQXGA 120Hz (UP $1999.00)","HP Envy 16 i5-12500H Arc A370M 16GB 1TB 16"" WQXGA 120Hz (UP $1999.00)",Like new,11,https://www.carousell.sg/p/hp-envy-16-i5-12500h-arc-a370m-16gb-1tb-16-wqxga-120hz-up-1999-00-1358233910/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=GgFmdx4PiEFt7x0R&t-referrer_sort_by=popular&t-tap_index=34
31,2025-06-25,16” MacBook Pro with M1 Pro chip,"S$1,450",Like new,0,https://www.carousell.sg/p/16%E2%80%9D-macbook-pro-with-m1-pro-chip-1376820918/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=GgFmdx4PiEFt7x0R&t-referrer_sort_by=popular&t-tap_index=35
32,2025-06-25,[BRAND NEW IN BOX] iPad Pro 11 Inch M4,"S$1,350",Brand new,0,https://www.carousell.sg/p/brand-new-in-box-ipad-pro-11-inch-m4-1376820787/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=GgFmdx4PiEFt7x0R&t-referrer_sort_by=popular&t-tap_index=36
33,2025-06-25,Apple MacBook Air(M4) 13/15 inch,"S$1,300",Like new,0,https://www.carousell.sg/p/apple-macbook-air-m4-13-15-inch-1376819868/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=GgFmdx4PiEFt7x0R&t-referrer_sort_by=popular&t-tap_index=37
34,2025-06-25,MacBook Pro 13 inch 2020 Touch Bar,S$548,Well used,83,https://www.carousell.sg/p/macbook-pro-13-inch-2020-touch-bar-1359942180/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=GgFmdx4PiEFt7x0R&t-referrer_sort_by=popular&t-tap_index=38
35,2025-06-25,Macbook Air 13 2020 Full Box Set,S$398,Like new,76,https://www.carousell.sg/p/macbook-air-13-2020-full-box-set-1360588534/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=GgFmdx4PiEFt7x0R&t-referrer_sort_by=popular&t-tap_index=39
36,2025-06-25,MacBook Air 13-inch (2018),S$300,Well used,0,https://www.carousell.sg/p/macbook-air-13-inch-2018-1376818389/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=GgFmdx4PiEFt7x0R&t-referrer_sort_by=popular&t-tap_index=40
37,2025-06-25,"Apple MacBook Pro 14"" M3 Pro 18GB 512GB SSD Space Black","S$1,749",Like new,32,https://www.carousell.sg/p/apple-macbook-pro-14-m3-pro-18gb-512gb-ssd-space-black-1361841738/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=GgFmdx4PiEFt7x0R&t-referrer_sort_by=popular&t-tap_index=41
38,2025-06-25,"MacBook Air 13-inch, 2024 M3 Chip, 512/8GB Midnight","S$1,214",Like new,7,https://www.carousell.sg/p/macbook-air-13-inch-2024-m3-chip-512-8gb-midnight-1375372244/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=GgFmdx4PiEFt7x0R&t-referrer_sort_by=popular&t-tap_index=42
39,2025-06-25,Apple MacBook Air 13.6-inch M2 Chip,"S$1,200",Like new,0,https://www.carousell.sg/p/apple-macbook-air-13-6-inch-m2-chip-1376814305/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=GgFmdx4PiEFt7x0R&t-referrer_sort_by=popular&t-tap_index=43
40,2025-06-25,Lenovo ThinkPad X12 Detachable Gen 1(Japan Keyboard) | Intel Core i5-1140G7/16GB Ram/256GB SSD | Windows 11 Pro + MS Office 2021 | 1 Month Shop Warranty,S$499.99,Like new,66,https://www.carousell.sg/p/lenovo-thinkpad-x12-detachable-gen-1-japan-keyboard-intel-core-i5-1140g7-16gb-ram-256gb-ssd-windows-11-pro-ms-office-2021-1-month-shop-warranty-1255133393/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=GgFmdx4PiEFt7x0R&t-referrer_sort_by=popular&t-tap_index=45
41,2025-06-25,HP ZBook G2 17 Inch Work Station,S$149,Well used,0,https://www.carousell.sg/p/hp-zbook-g2-17-inch-work-station-1376813493/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=GgFmdx4PiEFt7x0R&t-referrer_sort_by=popular&t-tap_index=46
42,2025-06-25,Aftershock,S$550,Lightly used,1,https://www.carousell.sg/p/aftershock-1376813044/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=GgFmdx4PiEFt7x0R&t-referrer_sort_by=popular&t-tap_index=47
43,2025-06-25,Apple MacBook Pro 17 inch,S$199,Lightly used,0,https://www.carousell.sg/p/apple-macbook-pro-17-inch-1376812583/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=GgFmdx4PiEFt7x0R&t-referrer_sort_by=popular&t-tap_index=48
