,date,title,price,condition,likes,url
60,2025-06-25,Yoga Lenovo L13 touchscreen with stylus 2 in 1 laptop,S$200,Lightly used,2,https://www.carousell.sg/p/yoga-lenovo-l13-touchscreen-with-stylus-2-in-1-laptop-1376796219/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=4d_i0yQKTe-xu4kD&t-referrer_sort_by=popular&t-tap_index=68
61,2025-06-25,"2025 ASUS TUF A16 ( AMD Ryzen 9-8940HX, RTX 5070, 32GB DDR5 RAM, 2.5K (2560 x 1600, WQXGA) QHD+ 165Hz Screen, 1TB SSD ) JAEGER GREY Gaming Laptop Notebook","S$2,499",Brand new,26,https://www.carousell.sg/p/2025-asus-tuf-a16-amd-ryzen-9-8940hx-rtx-5070-32gb-ddr5-ram-2-5k-2560-x-1600-wqxga-qhd-165hz-screen-1tb-ssd-jaeger-grey-gaming-laptop-notebook-1308525888/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=4d_i0yQKTe-xu4kD&t-referrer_sort_by=popular&t-tap_index=70
62,2025-06-25,Wts asus Tuf f15 rtx 3050 i7 12th gen gaming laptop warranty 2027,S$800,Like new,3,https://www.carousell.sg/p/wts-asus-tuf-f15-rtx-3050-i7-12th-gen-gaming-laptop-warranty-2027-1376795730/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=4d_i0yQKTe-xu4kD&t-referrer_sort_by=popular&t-tap_index=71
63,2025-06-25,M1 MacBook Air 8gb 500gb,S$550,Like new,1,https://www.carousell.sg/p/m1-macbook-air-8gb-500gb-1376795436/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=4d_i0yQKTe-xu4kD&t-referrer_sort_by=popular&t-tap_index=72
64,2025-06-25,MacBook Air m1 chip 256gb,S$650,Like new,0,https://www.carousell.sg/p/macbook-air-m1-chip-256gb-1376795376/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=4d_i0yQKTe-xu4kD&t-referrer_sort_by=popular&t-tap_index=73
65,2025-06-25,Lenovo laptop IdeaPad s540 Ryzen 7 20gb ram full box,S$400,Lightly used,1,https://www.carousell.sg/p/lenovo-laptop-ideapad-s540-ryzen-7-20gb-ram-full-box-1376795008/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=4d_i0yQKTe-xu4kD&t-referrer_sort_by=popular&t-tap_index=74
66,2025-06-25,Lenovo Legion 5 Gaming Laptop,"S$1,299",Like new,0,https://www.carousell.sg/p/lenovo-legion-5-gaming-laptop-1376794630/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=4d_i0yQKTe-xu4kD&t-referrer_sort_by=popular&t-tap_index=75
67,2025-06-25,Acer Nitro 5 AN515-47 Gaming Laptop,S$680,Like new,6,https://www.carousell.sg/p/acer-nitro-5-an515-47-gaming-laptop-1376794460/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=4d_i0yQKTe-xu4kD&t-referrer_sort_by=popular&t-tap_index=76
68,2025-06-25,"2025 ASUS TUF A14 ( Ryzen AI 7 350, RTX 5060 , 32GB DDR5 RAM, 14-inch 2.5K QHD+ 165Hz IPS Screen, 1TB SSD ) Portable Compact Lightweight Gaming Laptop Notebook FA401","S$2,499",Brand new,31,https://www.carousell.sg/p/2025-asus-tuf-a14-ryzen-ai-7-350-rtx-5060-32gb-ddr5-ram-14-inch-2-5k-qhd-165hz-ips-screen-1tb-ssd-portable-compact-lightweight-gaming-laptop-notebook-fa401-1318648572/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=4d_i0yQKTe-xu4kD&t-referrer_sort_by=popular&t-tap_index=77
69,2025-06-25,Lenovo 500e Chromebook 2nd Gen Laptop,S$35,Well used,5,https://www.carousell.sg/p/lenovo-500e-chromebook-2nd-gen-laptop-1376793291/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=4d_i0yQKTe-xu4kD&t-referrer_sort_by=popular&t-tap_index=78
70,2025-06-25,Gaming Laptop,S$300,Well used,12,https://www.carousell.sg/p/gaming-laptop-1367833948/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=4d_i0yQKTe-xu4kD&t-referrer_sort_by=popular&t-tap_index=79
71,2025-06-25,15.6” Wide Screen Lenovo ThinkPad Laptop / intel i5 Processor / 8GB / 500GB Storage / Windows 11 Pro/ Good battery.,S$179,Lightly used,2,https://www.carousell.sg/p/15-6%E2%80%9D-wide-screen-lenovo-thinkpad-laptop-intel-i5-processor-8gb-500gb-storage-windows-11-pro-good-battery-1376792056/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=4d_i0yQKTe-xu4kD&t-referrer_sort_by=popular&t-tap_index=81
72,2025-06-25,MacBook Air M1 256GB,S$700,Lightly used,2,https://www.carousell.sg/p/macbook-air-m1-256gb-1376791978/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=4d_i0yQKTe-xu4kD&t-referrer_sort_by=popular&t-tap_index=82
